RowNumber,CustomerId,name,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,15634602,roshan,619,Chennai,Female,42,2,0,1,1,1,101348.88,1
2,15647311,lodha,608,Bangalore,Female,41,1,83807.86,1,0,1,112542.58,0
3,15619304,garcia,502,Chennai,Female,42,8,159660.8,3,1,0,113931.57,1
4,15701354,paud,699,Chennai,Female,39,1,0,2,0,0,93826.63,0
5,15737888,kalbhor,850,Bangalore,Female,43,2,125510.82,1,1,1,79084.1,0
6,15574012,zahaldar,645,Bangalore,Male,44,8,113755.78,2,1,0,149756.71,1
7,15592531,tamhankar,822,Chennai,Male,50,7,0,2,1,1,10062.8,0
8,15656148,vichare,376,Mumbai,Female,29,4,115046.74,4,1,0,119346.88,1
9,15792365,girdhar,501,Chennai,Male,44,4,142051.07,2,0,1,74940.5,0
10,15592389,shetty,684,Chennai,Male,27,2,134603.88,1,1,1,71725.73,0
11,15767821,dandale,528,Chennai,Male,31,6,102016.72,2,0,0,80181.12,0
12,15737173,khanna,497,Bangalore,Male,24,3,0,2,1,0,76390.01,0
13,15632264,lagadapati,476,Chennai,Female,34,10,0,2,1,0,26260.98,0
14,15691483,choksi,549,Chennai,Female,25,5,0,2,0,0,190857.79,0
15,15600882,pohnekar,635,Bangalore,Female,35,7,0,2,1,1,65951.65,0
16,15643966,wadhavkar,616,Mumbai,Male,45,3,143129.41,2,0,1,64327.26,0
17,15737452,vora,653,Mumbai,Male,58,1,132602.88,1,1,0,5097.67,1
18,15788218,kansal,549,Bangalore,Female,24,9,0,2,1,1,14406.41,0
19,15661507,khurana,587,Bangalore,Male,45,6,0,1,0,0,158684.81,0
20,15568982,tirodkar,726,Chennai,Female,24,6,0,2,1,1,54724.03,0
21,15577657,waradpande,732,Chennai,Male,41,8,0,2,1,1,170886.17,0
22,15597945,paul,636,Bangalore,Female,32,8,0,2,1,0,138555.46,0
23,15699309,wangnoo,510,Bangalore,Female,38,4,0,1,1,0,118913.53,1
24,15725737,vashisth,669,Chennai,Male,46,3,0,2,0,1,8487.75,0
25,15625047,bhattacharya,846,Chennai,Female,38,5,0,1,1,1,187616.16,0
26,15738191,holkar,577,Chennai,Male,25,3,0,2,0,1,124508.29,0
27,15736816,sengupta,756,Mumbai,Male,36,2,136815.64,1,1,1,170041.95,0
28,15700772,janmeja,571,Chennai,Male,44,9,0,2,0,0,38433.35,0
29,15728693,girdhar,574,Mumbai,Female,43,3,141349.43,1,1,1,100187.43,0
30,15656300,kakde,411,Chennai,Male,29,0,59697.17,2,1,1,53483.21,0
31,15589475,vengsarkar,591,Bangalore,Female,39,3,0,3,1,0,140469.38,1
32,15706552,bakshi,533,Chennai,Male,36,7,85311.7,1,0,1,156731.91,0
33,15750181,unhale,553,Mumbai,Male,41,9,110112.54,2,0,0,81898.81,0
34,15659428,uppal,520,Bangalore,Female,42,6,0,2,1,1,34410.55,0
35,15732963,raxit,722,Bangalore,Female,29,9,0,2,1,1,142033.07,0
